image_name,image_type,levels_of_scale,strong_centers,boundaries,alternating_repetition,positive_space,good_shape,local_symmetries,deep_interlock_and_ambiguity,contrast,gradients,roughness,echoes,the_void,simplicity_and_inner_calm,not_separateness
5.jpg,urban,6,7,7,5,6,7,6,7,8,8,8,7,7,8,8
7.jpg,urban,7,8,6,4,7,6,5,7,9,8,8,6,7,6,8
17.jpg,urban,4,6,7,5,4,3,4,3,6,5,6,5,6,4,3
20.jpg,urban,6,7,5,4,5,6,6,4,7,6,7,5,4,6,6
23.jpg,urban,6,8,7,4,8,7,6,5,8,7,9,5,9,8,8
36.jpg,urban,3,2,4,2,3,2,3,2,4,3,4,3,5,3,2
37.jpg,urban,3,2,4,2,3,3,2,2,4,6,6,4,8,7,6
40.jpg,urban,6,7,8,4,7,6,5,5,7,8,8,6,8,8,9
41.jpg,urban,4,3,6,5,4,5,6,3,6,7,6,5,7,7,6
42.jpg,urban,7,8,7,6,5,7,8,4,6,5,6,7,4,7,6
43.jpg,urban,4,6,5,6,3,5,7,3,6,4,5,7,4,5,4
50.jpg,urban,4,3,6,5,4,5,4,3,6,7,6,5,7,7,6
55.jpg,urban,8,9,7,6,7,8,7,6,8,7,8,7,8,9,8
59.jpg,urban,8,9,7,6,8,8,8,5,7,8,6,7,8,9,8
71.jpg,urban,4,3,6,5,4,3,6,2,5,6,4,7,7,5,4
73.jpg,urban,8,7,8,6,7,6,5,7,8,9,9,8,7,8,9
82.jpg,urban,8,9,7,8,8,8,9,6,7,7,6,8,9,9,8
86.jpg,urban,6,8,7,5,7,7,8,4,6,7,6,6,8,8,7
89.jpg,urban,6,8,7,7,6,7,8,4,6,5,4,8,7,7,6
93.jpg,urban,8,9,7,6,7,8,7,6,8,7,7,8,8,8,9
103.jpg,urban,8,7,6,5,7,6,6,7,8,8,9,6,8,9,8
110.jpg,urban,8,9,7,6,8,8,7,6,7,8,7,7,8,9,9
114.jpg,urban,7,8,6,4,7,6,5,5,7,8,7,6,8,8,7
119.jpg,urban,4,3,5,6,3,4,2,2,6,7,7,5,8,7,6
140.jpg,urban,8,9,7,6,7,8,7,6,8,7,8,7,6,7,8
149.jpg,urban,8,7,8,6,7,7,7,8,7,8,9,6,6,8,9
151.jpg,urban,7,8,6,4,8,7,6,5,9,8,7,6,9,8,7
153.jpg,urban,4,3,5,2,3,3,4,2,5,4,6,3,4,3,2
156.jpg,urban,8,7,8,6,8,7,6,8,7,9,7,7,8,9,9
163.jpg,urban,4,3,6,5,4,5,6,3,5,7,6,6,5,4,6
171.jpg,urban,7,8,8,5,7,7,6,7,8,8,8,6,7,8,9
178.jpg,urban,6,7,8,4,6,7,6,4,7,5,8,5,7,8,6
180.jpg,urban,6,7,5,4,7,6,5,4,6,8,7,5,8,8,8
183.jpg,urban,4,3,6,2,5,4,3,2,6,7,6,5,8,7,8
198.jpg,urban,8,9,7,6,8,7,8,6,7,8,7,7,8,9,8
211.jpg,urban,7,6,8,8,7,6,5,7,6,8,8,9,7,8,9
213.jpg,urban,8,9,7,6,7,8,7,6,8,7,8,7,6,8,9
215.jpg,urban,8,9,7,6,7,8,7,6,7,8,8,7,6,8,9
221.jpg,urban,8,9,7,6,7,8,8,6,7,6,7,7,8,8,8
231.jpg,urban,6,5,7,4,6,6,5,4,6,7,7,5,6,7,8
238.jpg,urban,6,5,7,4,6,5,4,4,6,7,7,5,7,6,7
239.jpg,urban,4,3,5,3,4,5,2,4,6,7,8,5,6,7,8
241.jpg,urban,7,8,6,5,8,7,6,4,7,8,8,6,9,9,9
251.jpg,urban,4,3,5,6,4,3,4,3,5,6,7,5,6,5,4
252.jpg,urban,7,6,5,4,6,5,4,7,6,8,8,6,7,8,9
253.jpg,urban,4,3,6,5,3,4,6,2,5,4,3,6,7,4,5
256.jpg,urban,8,9,7,6,7,8,7,5,6,7,8,8,8,9,8
263.jpg,urban,8,9,7,6,7,8,7,6,8,7,8,7,8,9,8
273.jpg,urban,7,8,6,7,6,7,8,5,8,7,6,7,7,8,7
278.jpg,urban,8,7,8,6,7,8,6,7,6,8,9,7,5,8,9
279.jpg,urban,7,8,7,6,6,7,6,5,6,7,8,7,5,7,8
280.jpg,urban,7,6,8,5,6,7,6,8,7,8,9,7,7,8,9
282.jpg,urban,8,7,6,5,7,7,6,7,6,8,8,6,7,8,9
283.jpg,urban,7,8,6,5,6,7,6,7,8,7,8,6,5,7,8
286.jpg,urban,6,7,8,5,7,6,6,5,6,8,7,6,5,8,8
295.jpg,urban,4,3,5,3,4,3,4,2,5,6,6,4,6,5,4
298.jpg,urban,4,5,6,3,4,5,6,4,5,7,7,5,6,7,6
299.jpg,urban,4,3,5,2,3,4,3,2,6,5,6,4,7,6,4
300.jpg,urban,6,5,7,4,6,6,5,4,6,7,7,6,5,7,8
